id,created_at,updated_at,version,srd_version,name,category,description
fc0d8a2a-776e-5dc3-ab2c-32024d202fa5,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Ability Check,NULL,"An ability check is a D20 Test that represents using one of the six abilities—or a specific skill associated with an ability—to overcome a challenge. See also ""Playing the Game"" (""D20 Tests"" and ""Proficiency"")."
ff66ae6c-0da2-5f36-b9cc-efae0cc9fbbe,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Ability Score and Modifier,NULL,"A creature has six ability scores—Strength, Dexterity, Constitution, Intelligence, Wisdom, and Charisma—each of which has a corresponding modifier. Add the modifier when you make a D20 Test with the corresponding ability or when a rule asks you to do so. See also ""Playing the Game"" (""The Six Abilities"")."
beb5b48a-038d-5e76-8a59-92c7039facc6,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Action,NULL,"On your turn, you can take one action. Choose which action to take from those below or from the special actions provided by your features. See also ""Playing the Game"" (""Actions""). These actions are defined elsewhere in this glossary:

Attack  Dodge  Influence  Search
Dash  Help  Magic  Study
Disengage  Hide  Ready  Utilize"
dc6ca90f-b618-5756-a35d-9591af723722,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Advantage,NULL,"If you have Advantage on a D20 Test, roll two d20s, and use the higher roll. A roll can't be affected by more than one Advantage, and Advantage and Disadvantage on the same roll cancel each other. See also ""Playing the Game"" (""D20 Tests"")."
fa80a155-3c0a-5d2b-8737-c156ec91dd3a,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Adventure,NULL,"An adventure is a series of encounters. A story emerges through playing them. See also ""Encounter."""
6bfd226a-53d9-553c-89d9-25c7b150f93a,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Alignment,NULL,"A creature's alignment broadly describes its ethical attitudes and ideals. Alignment is a combination of two factors: one identifies morality (good, evil, or neutral), and the other describes attitudes toward order (lawful, chaotic, or neutral). These factors allow for nine possible combinations, such as Lawful Good and Neutral Evil. See also ""Character Creation"" (""Create Your Character"")."
eb29e9b0-68d0-56a2-9fc4-17172313921b,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Ally,NULL,"A creature is your ally if it is a member of your adventuring party, your friend, on your side in combat, or a creature that the rules or the GM designates as your ally."
626f3680-c33a-5302-ab20-2c5132c27de7,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Area of Effect,NULL,"The descriptions of many spells and other features specify that they have an area of effect, which typically has one of six shapes. These shapes are defined elsewhere in this glossary:

Cone  Cylinder  Line
Cube  Emanation  Sphere

An area of effect has a point of origin, a location from which the effect's energy erupts. The rules for each shape specify how to position its point of origin. If all straight lines extending from the point of origin to a location in the area of effect are blocked, that location isn't included in the area of effect. To block a line, an obstruction must provide Total Cover. See also ""Cover.""

If the creator of an area of effect places it at an unseen point and an obstruction—such as a wall— is between the creator and that point, the point of origin comes into being on the near side of the obstruction."
c44a2747-39d0-5e17-9099-e36fa2d2b2ce,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Armor Class,NULL,"An Armor Class (AC) is the target number for an attack roll. AC represents how difficult it is to hit a target.

Your base AC calculation is 10 plus your Dexterity modifier. If a rule gives you another base AC calculation, you choose which calculation to use; you can't use more than one. See also ""Attack Roll."""
9610bffe-2850-5808-96d9-77bb3e5ad4d6,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Armor Training,NULL,"Armor training allows you to use armor of a certain category without the following drawbacks. If you wear Light, Medium, or Heavy armor and lack training with it, you have Disadvantage on any D20 Test that involves Strength or Dexterity, and you can't cast spells. If you use a Shield and lack training with it, you don't gain its AC bonus. See also ""Disadvantage"" and ""Equipment"" (""Armor"")."
