id,created_at,updated_at,version,feature_id,capability,amount,second_amount,duration_unit,damage_type,notes
7dd6ec31-d403-5265-ad99-3047c28fb39c,2026-09-08T00:00:00,2026-09-08T00:00:00,0,71a63806-32f8-5039-be1f-87524329cf01,BREATHE_AIR_AND_WATER,NULL,NULL,NULL,NULL,The aboleth can breathe air and water.
e8270c64-af17-594d-aea5-bb08d45e1f11,2026-09-08T00:00:00,2026-09-08T00:00:00,0,5030981c-3aff-57d5-a158-d54a88543122,BREATHE_AIR_AND_WATER,NULL,NULL,NULL,NULL,"While underwater, the aboleth is surrounded by mucus. Constitution Saving Throw: DC 14, each creature in a 5-foot Emanation originating from the aboleth at the end of the aboleth's turn. Failure: The target is cursed. Until the curse ends, the target's skin becomes slimy, the target can breathe air and water, and it can't regain Hit Points unless it is underwater. While the cursed creature is outs"
1933d37b-3abb-50aa-9fa8-4405a1853663,2026-09-08T00:00:00,2026-09-08T00:00:00,0,ec61d485-de18-5459-9b42-a659a1b35b32,BOUND_TELEPATHY,NULL,NULL,NULL,NULL,"If a creature the aboleth can see communicates telepathically with the aboleth, the aboleth learns the creature's greatest desires."
73c020d7-26b2-50a3-bf3e-551e96b175b8,2026-09-08T00:00:00,2026-09-08T00:00:00,0,1b2fbe6a-e74f-50e2-ac78-279e19904b81,SQUEEZE_THROUGH_INCH,NULL,NULL,NULL,NULL,The elemental can enter a creature's space and stop there. It can move through a space as narrow as 1 inch without expending extra movement to do so.
5d108c77-d59f-541d-b37a-b75f04c61ee5,2026-09-08T00:00:00,2026-09-08T00:00:00,0,1b2fbe6a-e74f-50e2-ac78-279e19904b81,OCCUPY_CREATURE_SPACE,NULL,NULL,NULL,NULL,The elemental can enter a creature's space and stop there. It can move through a space as narrow as 1 inch without expending extra movement to do so.
c4c04587-66ac-53c9-96c0-03f7af4771f7,2026-09-08T00:00:00,2026-09-08T00:00:00,0,ee90f4dd-8d23-5cde-88c5-a7977e97df49,BURROW_THROUGH_ROCK,NULL,NULL,NULL,NULL,The ankheg can burrow through solid rock at half its Burrow Speed and leaves a 10-foot-diameter tunnel in its wake.
7e464253-4784-5a11-b107-39aa0581fb83,2026-09-08T00:00:00,2026-09-08T00:00:00,0,804b4d16-1d53-5f20-9ca9-6b47d0ab4a9c,BREATHE_AIR_AND_WATER,NULL,NULL,NULL,NULL,The dragon can breathe air and water.
f4f5a673-9852-5956-95fc-4bbe2f86136e,2026-09-08T00:00:00,2026-09-08T00:00:00,0,c3d7f03b-6ee1-5232-9223-b169a5a9d3ed,BREATHE_AIR_AND_WATER,NULL,NULL,NULL,NULL,The dragon can breathe air and water.
e1da6917-4c00-50ba-9d2a-44e10c716352,2026-09-08T00:00:00,2026-09-08T00:00:00,0,247574d5-6d21-5973-a1c4-081af26fcb28,BREATHE_AIR_AND_WATER,NULL,NULL,NULL,NULL,The dragon can breathe air and water.
369c7e66-43fc-5ec3-82f2-d3ac9b904f1d,2026-09-08T00:00:00,2026-09-08T00:00:00,0,888897f3-8fe6-526e-9b39-13e884df8059,BREATHE_AIR_AND_WATER,NULL,NULL,NULL,NULL,The dragon can breathe air and water.
2246cf5d-f7bd-531e-afea-92c96ef71174,2026-09-08T00:00:00,2026-09-08T00:00:00,0,16b37202-2af3-502b-af51-5a3b4761d29e,SQUEEZE_THROUGH_INCH,NULL,NULL,NULL,NULL,The pudding can move through a space as narrow as 1 inch without expending extra movement to do so.
804c4634-9982-5cbe-8c3d-313dea28e94c,2026-09-08T00:00:00,2026-09-08T00:00:00,0,e65905b1-761e-55a4-af2b-5ec6062de0e3,CLIMB_WITHOUT_CHECK,NULL,NULL,NULL,NULL,"The pudding can climb difficult surfaces, including along ceilings, without needing to make an ability check."
fd8d73a2-1808-5ebe-9e7f-0396473ddea4,2026-09-08T00:00:00,2026-09-08T00:00:00,0,278bdbf3-1052-582d-9515-1251d8f85d48,BREATHE_AIR_AND_WATER,NULL,NULL,NULL,NULL,The dragon can breathe air and water.
1c8e6f91-596d-52f7-b4ec-695aa3557aa9,2026-09-08T00:00:00,2026-09-08T00:00:00,0,f90be718-3b6a-5509-9439-a9f2298f856f,BREATHE_AIR_AND_WATER,NULL,NULL,NULL,NULL,The dragon can breathe air and water.
80224c6b-a6ba-53ef-acef-b2b56a3fc1a2,2026-09-08T00:00:00,2026-09-08T00:00:00,0,a706746b-5e27-56e7-9193-49e530ae8127,BREATHE_AIR_AND_WATER,NULL,NULL,NULL,NULL,The dragon can breathe air and water.
bd47b1e7-8943-52c6-ae11-90bd730bb0e8,2026-09-08T00:00:00,2026-09-08T00:00:00,0,f5ac3af1-ae5e-56ec-97c9-8be2e055f5a8,BREATHE_AIR_AND_WATER,NULL,NULL,NULL,NULL,The dragon can breathe air and water.
59ec8592-ae85-50c2-aec3-48542b35cb75,2026-09-08T00:00:00,2026-09-08T00:00:00,0,c3de2a74-0afc-5607-9978-e62fece1d342,FREE_GRAPPLE_MOVEMENT,NULL,NULL,NULL,NULL,The bugbear needn't spend extra movement to move a creature it is grappling.
c03a1b5f-452e-5196-823b-ab0dec1eb7af,2026-09-08T00:00:00,2026-09-08T00:00:00,0,79c178f5-0176-512a-97d0-6fca03b747c6,FREE_GRAPPLE_MOVEMENT,NULL,NULL,NULL,NULL,The bugbear needn't spend extra movement to move a creature it is grappling.
cdc2ed4e-2372-53cc-8972-f6d0647aab06,2026-09-08T00:00:00,2026-09-08T00:00:00,0,f4c8e3d1-35c6-563d-8ea9-bfd176c6b59a,BREATHE_AIR_AND_WATER,NULL,NULL,NULL,NULL,The chuul can breathe air and water.
a3ba4abb-52b7-56b7-b9b7-8657d7a718bf,2026-09-08T00:00:00,2026-09-08T00:00:00,0,3709403c-4add-5a4d-b662-75b70201115a,DETECT_AT_RANGE,120,NULL,NULL,NULL,The chuul senses magic within 120 feet of itself. This trait otherwise works like the Detect Magic spell but isn't itself magical.
