id,created_at,updated_at,version,step_id,outcome,kind,ordinal,dice_count,dice_faces,dice_bonus,dice_average,damage_type,half_damage,condition_id,escape_dc,notes
444e3684-9ecc-5528-be83-600500780943,2026-09-08T00:00:00,2026-09-08T00:00:00,0,bfeb7f7e-4b8f-5bd3-88e0-799d4b94c807,SAVE_FAILURE,DAMAGE,0,1,12,NULL,6,ACID,false,NULL,NULL,NULL
e55f7fd1-42a6-55a3-bbaf-5022c6624c1e,2026-09-08T00:00:00,2026-09-08T00:00:00,0,5007e206-c6bc-5864-abd1-03e260a96579,HIT,DAMAGE,0,2,6,5,12,BLUDGEONING,false,NULL,NULL,NULL
a80ce1b8-da01-5946-8dbf-c767710c6aa9,2026-09-08T00:00:00,2026-09-08T00:00:00,0,5007e206-c6bc-5864-abd1-03e260a96579,HIT,APPLY_CONDITION,1,NULL,NULL,NULL,NULL,NULL,false,c04d0000-0000-4000-a000-000000000006,14,NULL
baf69fcf-89b1-5753-91f6-88de8a6334a1,2026-09-08T00:00:00,2026-09-08T00:00:00,0,50917df4-7fdf-5a95-b265-d6ff0247e090,SAVE_FAILURE,DAMAGE,0,3,6,NULL,10,PSYCHIC,false,NULL,NULL,NULL
65062fe5-8e65-53e3-8065-146c5dd6a1d3,2026-09-08T00:00:00,2026-09-08T00:00:00,0,50917df4-7fdf-5a95-b265-d6ff0247e090,SAVE_SUCCESS,DAMAGE,1,NULL,NULL,NULL,NULL,NULL,true,NULL,NULL,NULL
9df8ead5-2f1e-5529-a7d0-adb14490bb3b,2026-09-08T00:00:00,2026-09-08T00:00:00,0,8dcf031e-7c6d-53f0-a811-2d506a6eab3b,SAVE_FAILURE,APPLY_CONDITION,0,NULL,NULL,NULL,NULL,NULL,false,c04d0000-0000-4000-a000-000000000002,NULL,NULL
89d98f55-881b-52ff-bd6a-1653165e48aa,2026-09-08T00:00:00,2026-09-08T00:00:00,0,0d1b6033-63a3-5005-80ef-664c4d19a4d1,HIT,DAMAGE,0,2,8,5,14,THUNDER,false,NULL,NULL,NULL
04f38f61-aee9-526f-aaf2-7c251e020f9c,2026-09-08T00:00:00,2026-09-08T00:00:00,0,d99e8305-9875-58fb-9338-04ccedb6476d,SAVE_FAILURE,DAMAGE,0,4,10,2,24,THUNDER,false,NULL,NULL,NULL
2115a6d3-2b9c-5b3f-a0f2-618d47f26b86,2026-09-08T00:00:00,2026-09-08T00:00:00,0,d99e8305-9875-58fb-9338-04ccedb6476d,SAVE_FAILURE,APPLY_CONDITION,1,NULL,NULL,NULL,NULL,NULL,false,c04d0000-0000-4000-a000-00000000000c,NULL,NULL
25e40438-6dfb-5274-bb2e-f500d7456ea2,2026-09-08T00:00:00,2026-09-08T00:00:00,0,d99e8305-9875-58fb-9338-04ccedb6476d,SAVE_SUCCESS,DAMAGE,2,NULL,NULL,NULL,NULL,NULL,true,NULL,NULL,NULL
6edb3b9b-3bca-5760-b3d0-0e2842007573,2026-09-08T00:00:00,2026-09-08T00:00:00,0,c52b03d5-b12b-508b-ae5e-5d209a1638fc,HIT,DAMAGE,0,1,6,2,5,BLUDGEONING,false,NULL,NULL,NULL
6c4ca3cb-c04e-578e-b654-c5025091dc40,2026-09-08T00:00:00,2026-09-08T00:00:00,0,2f2fced6-dc91-5b20-8a8c-e426ad73f0c7,HIT,DAMAGE,0,1,8,2,6,SLASHING,false,NULL,NULL,NULL
d15e3708-2093-5faa-b083-482a46fcdccc,2026-09-08T00:00:00,2026-09-08T00:00:00,0,5a44b931-ba7c-517f-876e-60cc39a48ec3,HIT,DAMAGE,0,2,6,3,10,BLUDGEONING,false,NULL,NULL,NULL
0b3cfe4d-9bfa-5fe8-8d6d-79e960d68372,2026-09-08T00:00:00,2026-09-08T00:00:00,0,5a44b931-ba7c-517f-876e-60cc39a48ec3,HIT,DAMAGE,1,2,6,3,10,BLUDGEONING,false,NULL,NULL,NULL
51690f29-c349-5f5c-bd9a-2fb67cf15170,2026-09-08T00:00:00,2026-09-08T00:00:00,0,473fdbda-1b82-576b-a5eb-e813a8062986,HIT,DAMAGE,0,2,6,3,10,SLASHING,false,NULL,NULL,NULL
61f03158-cb24-5cc5-89e8-738a056b218e,2026-09-08T00:00:00,2026-09-08T00:00:00,0,473fdbda-1b82-576b-a5eb-e813a8062986,HIT,DAMAGE,1,1,6,NULL,3,ACID,false,NULL,NULL,NULL
faf3516a-4261-5475-91c9-ef3964b64d5d,2026-09-08T00:00:00,2026-09-08T00:00:00,0,473fdbda-1b82-576b-a5eb-e813a8062986,HIT,APPLY_CONDITION,2,NULL,NULL,NULL,NULL,NULL,false,c04d0000-0000-4000-a000-000000000006,13,NULL
92058d5e-e223-521a-a6c9-0ac1d5194788,2026-09-08T00:00:00,2026-09-08T00:00:00,0,9e0987a3-9b71-5293-8312-93459b804903,SAVE_FAILURE,DAMAGE,0,4,6,NULL,14,ACID,false,NULL,NULL,NULL
cd096a48-dc3a-50dc-9ce7-f58cf3003412,2026-09-08T00:00:00,2026-09-08T00:00:00,0,9e0987a3-9b71-5293-8312-93459b804903,SAVE_SUCCESS,DAMAGE,1,NULL,NULL,NULL,NULL,NULL,true,NULL,NULL,NULL
53eb66b9-dc3e-55b1-8da8-2756f2758358,2026-09-08T00:00:00,2026-09-08T00:00:00,0,f8c7d457-778e-5da0-b447-07f2f92f17e8,ALWAYS,APPLY_CONDITION,0,NULL,NULL,NULL,NULL,NULL,false,c04d0000-0000-4000-a000-000000000007,NULL,NULL
39a246c2-cb75-59d6-8521-ee0c3c40b163,2026-09-08T00:00:00,2026-09-08T00:00:00,0,35976e4f-ba0a-5fda-b347-bc59afb0110e,HIT,DAMAGE,0,1,6,4,7,PIERCING,false,NULL,NULL,NULL
8e5f9369-0788-52a5-9dcb-2e6334c6e8b6,2026-09-08T00:00:00,2026-09-08T00:00:00,0,35976e4f-ba0a-5fda-b347-bc59afb0110e,HIT,DAMAGE,1,5,6,NULL,17,POISON,false,NULL,NULL,NULL
74e2dafc-2977-5152-9d0a-fbdb7c210b63,2026-09-08T00:00:00,2026-09-08T00:00:00,0,35976e4f-ba0a-5fda-b347-bc59afb0110e,HIT,APPLY_CONDITION,2,NULL,NULL,NULL,NULL,NULL,false,c04d0000-0000-4000-a000-00000000000b,NULL,NULL
868ab81b-bfec-5d6e-b77f-39e827fc7e07,2026-09-08T00:00:00,2026-09-08T00:00:00,0,4be44266-9770-52f6-a82e-dd6d8b7e4c3f,HIT,DAMAGE,0,1,8,4,8,PIERCING,false,NULL,NULL,NULL
3f352acb-3f51-5e28-bfa6-af75171c4e46,2026-09-08T00:00:00,2026-09-08T00:00:00,0,4be44266-9770-52f6-a82e-dd6d8b7e4c3f,HIT,DAMAGE,1,6,6,NULL,21,POISON,false,NULL,NULL,NULL
22edde59-ba2d-527f-bfcb-104e7bbfb7fd,2026-09-08T00:00:00,2026-09-08T00:00:00,0,48837391-f523-5448-868b-4ee7ab1ca1c8,HIT,DAMAGE,0,3,6,4,14,BLUDGEONING,false,NULL,NULL,NULL
7adf751c-109a-5533-b112-26f7d06c604d,2026-09-08T00:00:00,2026-09-08T00:00:00,0,961859f6-5c98-518f-ad91-809423a8caa7,HIT,DAMAGE,0,1,8,2,6,SLASHING,false,NULL,NULL,NULL
e33e24ef-bb78-5a5c-a497-8017113b9f96,2026-09-08T00:00:00,2026-09-08T00:00:00,0,1cb48595-6667-59e4-bb93-77fc3cd05929,ALWAYS,DAMAGE,0,1,10,NULL,5,FIRE,false,NULL,NULL,NULL
6b409f80-db40-5c09-849a-d43bd64c1107,2026-09-08T00:00:00,2026-09-08T00:00:00,0,1cb48595-6667-59e4-bb93-77fc3cd05929,ALWAYS,APPLY_CONDITION,1,NULL,NULL,NULL,NULL,NULL,false,c04d0000-0000-4000-a000-000000000007,NULL,NULL
0516cc14-b690-53ae-9fe3-05509271aab6,2026-09-08T00:00:00,2026-09-08T00:00:00,0,a61b0ab7-7c07-57f3-8cc3-a117f081c0e6,HIT,DAMAGE,0,1,10,3,8,BLUDGEONING,false,NULL,NULL,NULL
f27a2983-f3fc-5bee-889c-2fa388fbd984,2026-09-08T00:00:00,2026-09-08T00:00:00,0,a61b0ab7-7c07-57f3-8cc3-a117f081c0e6,HIT,DAMAGE,1,1,6,NULL,3,FIRE,false,NULL,NULL,NULL
0a827a37-e39b-5d81-a6cb-97b90e220247,2026-09-08T00:00:00,2026-09-08T00:00:00,0,1dea5a4c-c72c-58ea-92fe-fc95e6c3ebb7,SAVE_FAILURE,DAMAGE,0,9,6,NULL,31,FIRE,false,NULL,NULL,NULL
13019231-bae6-5289-bef4-974341016d28,2026-09-08T00:00:00,2026-09-08T00:00:00,0,1dea5a4c-c72c-58ea-92fe-fc95e6c3ebb7,SAVE_FAILURE,DAMAGE,1,9,6,NULL,31,FORCE,false,NULL,NULL,NULL
2b9a2023-0d30-5fb1-a37a-1f97f25734cb,2026-09-08T00:00:00,2026-09-08T00:00:00,0,1dea5a4c-c72c-58ea-92fe-fc95e6c3ebb7,SAVE_SUCCESS,DAMAGE,2,NULL,NULL,NULL,NULL,NULL,true,NULL,NULL,NULL
