stat_block_id,condition_id
02d56165-918f-5708-89af-3df7569c4f7f,c04d0000-0000-4000-a000-000000000004
02d56165-918f-5708-89af-3df7569c4f7f,c04d0000-0000-4000-a000-000000000006
02d56165-918f-5708-89af-3df7569c4f7f,c04d0000-0000-4000-a000-000000000009
02d56165-918f-5708-89af-3df7569c4f7f,c04d0000-0000-4000-a000-00000000000a
02d56165-918f-5708-89af-3df7569c4f7f,c04d0000-0000-4000-a000-00000000000b
02d56165-918f-5708-89af-3df7569c4f7f,c04d0000-0000-4000-a000-00000000000c
02d56165-918f-5708-89af-3df7569c4f7f,c04d0000-0000-4000-a000-00000000000d
02d56165-918f-5708-89af-3df7569c4f7f,c04d0000-0000-4000-a000-00000000000f
49a0bd4b-a9f9-50b2-9bc3-629df64418ea,c04d0000-0000-4000-a000-000000000002
49a0bd4b-a9f9-50b2-9bc3-629df64418ea,c04d0000-0000-4000-a000-000000000003
49a0bd4b-a9f9-50b2-9bc3-629df64418ea,c04d0000-0000-4000-a000-000000000004
49a0bd4b-a9f9-50b2-9bc3-629df64418ea,c04d0000-0000-4000-a000-000000000005
49a0bd4b-a9f9-50b2-9bc3-629df64418ea,c04d0000-0000-4000-a000-000000000009
49a0bd4b-a9f9-50b2-9bc3-629df64418ea,c04d0000-0000-4000-a000-00000000000a
49a0bd4b-a9f9-50b2-9bc3-629df64418ea,c04d0000-0000-4000-a000-00000000000b
00be073f-399c-53ec-b755-86bd872fab90,c04d0000-0000-4000-a000-000000000002
00be073f-399c-53ec-b755-86bd872fab90,c04d0000-0000-4000-a000-000000000003
00be073f-399c-53ec-b755-86bd872fab90,c04d0000-0000-4000-a000-000000000004
00be073f-399c-53ec-b755-86bd872fab90,c04d0000-0000-4000-a000-000000000005
00be073f-399c-53ec-b755-86bd872fab90,c04d0000-0000-4000-a000-000000000009
00be073f-399c-53ec-b755-86bd872fab90,c04d0000-0000-4000-a000-00000000000a
00be073f-399c-53ec-b755-86bd872fab90,c04d0000-0000-4000-a000-00000000000b
a088256d-750f-5976-a8d0-29afc20ed1ae,c04d0000-0000-4000-a000-000000000002
a088256d-750f-5976-a8d0-29afc20ed1ae,c04d0000-0000-4000-a000-000000000003
a088256d-750f-5976-a8d0-29afc20ed1ae,c04d0000-0000-4000-a000-000000000004
a088256d-750f-5976-a8d0-29afc20ed1ae,c04d0000-0000-4000-a000-000000000005
a088256d-750f-5976-a8d0-29afc20ed1ae,c04d0000-0000-4000-a000-000000000009
a088256d-750f-5976-a8d0-29afc20ed1ae,c04d0000-0000-4000-a000-00000000000a
a088256d-750f-5976-a8d0-29afc20ed1ae,c04d0000-0000-4000-a000-00000000000b
2723c0a7-abe7-5dab-bf94-e15c6d618c94,c04d0000-0000-4000-a000-00000000000b
dc1e420c-2ae8-50f4-8632-36e3594b028c,c04d0000-0000-4000-a000-000000000002
dc1e420c-2ae8-50f4-8632-36e3594b028c,c04d0000-0000-4000-a000-000000000005
dc1e420c-2ae8-50f4-8632-36e3594b028c,c04d0000-0000-4000-a000-00000000000b
9c07ced8-070d-550e-95b8-e88ef5c281a2,c04d0000-0000-4000-a000-00000000000b
fd78f130-1479-58d2-be72-d39c70317061,c04d0000-0000-4000-a000-000000000005
fd78f130-1479-58d2-be72-d39c70317061,c04d0000-0000-4000-a000-00000000000b
fee468d5-1dea-5c29-ae19-29f2c0a7eea2,c04d0000-0000-4000-a000-000000000002
fee468d5-1dea-5c29-ae19-29f2c0a7eea2,c04d0000-0000-4000-a000-000000000003
fee468d5-1dea-5c29-ae19-29f2c0a7eea2,c04d0000-0000-4000-a000-000000000004
fee468d5-1dea-5c29-ae19-29f2c0a7eea2,c04d0000-0000-4000-a000-000000000005
fee468d5-1dea-5c29-ae19-29f2c0a7eea2,c04d0000-0000-4000-a000-000000000006
fee468d5-1dea-5c29-ae19-29f2c0a7eea2,c04d0000-0000-4000-a000-00000000000c
fee468d5-1dea-5c29-ae19-29f2c0a7eea2,c04d0000-0000-4000-a000-00000000000d
0e85d74b-3cc9-528e-8346-0c50e2fa890a,c04d0000-0000-4000-a000-00000000000b
9d0f45d2-353c-55d6-b25a-ecf41a13a35e,c04d0000-0000-4000-a000-00000000000b
f8687241-5230-57e7-8cc5-96a1769ed7eb,c04d0000-0000-4000-a000-00000000000b
30ddc18c-251c-5334-99e2-7b0e692d8a05,c04d0000-0000-4000-a000-000000000002
30ddc18c-251c-5334-99e2-7b0e692d8a05,c04d0000-0000-4000-a000-000000000004
30ddc18c-251c-5334-99e2-7b0e692d8a05,c04d0000-0000-4000-a000-000000000005
30ddc18c-251c-5334-99e2-7b0e692d8a05,c04d0000-0000-4000-a000-000000000009
30ddc18c-251c-5334-99e2-7b0e692d8a05,c04d0000-0000-4000-a000-00000000000a
30ddc18c-251c-5334-99e2-7b0e692d8a05,c04d0000-0000-4000-a000-00000000000b
be712961-00e4-5fdc-b3d9-7ce4b3ef3839,c04d0000-0000-4000-a000-000000000005
b9eea488-d320-5cfa-b843-701d38590264,c04d0000-0000-4000-a000-00000000000a
68a5204b-c403-538a-9ad4-12ac83ff69dc,c04d0000-0000-4000-a000-000000000002
68a5204b-c403-538a-9ad4-12ac83ff69dc,c04d0000-0000-4000-a000-000000000004
68a5204b-c403-538a-9ad4-12ac83ff69dc,c04d0000-0000-4000-a000-000000000005
68a5204b-c403-538a-9ad4-12ac83ff69dc,c04d0000-0000-4000-a000-000000000006
68a5204b-c403-538a-9ad4-12ac83ff69dc,c04d0000-0000-4000-a000-000000000007
68a5204b-c403-538a-9ad4-12ac83ff69dc,c04d0000-0000-4000-a000-000000000009
68a5204b-c403-538a-9ad4-12ac83ff69dc,c04d0000-0000-4000-a000-00000000000a
68a5204b-c403-538a-9ad4-12ac83ff69dc,c04d0000-0000-4000-a000-00000000000b
68a5204b-c403-538a-9ad4-12ac83ff69dc,c04d0000-0000-4000-a000-00000000000c
68a5204b-c403-538a-9ad4-12ac83ff69dc,c04d0000-0000-4000-a000-00000000000d
68a5204b-c403-538a-9ad4-12ac83ff69dc,c04d0000-0000-4000-a000-00000000000e
6f8f63ea-0142-585a-a7fe-0f86dfcf594f,c04d0000-0000-4000-a000-000000000001
6f8f63ea-0142-585a-a7fe-0f86dfcf594f,c04d0000-0000-4000-a000-000000000002
6f8f63ea-0142-585a-a7fe-0f86dfcf594f,c04d0000-0000-4000-a000-000000000003
6f8f63ea-0142-585a-a7fe-0f86dfcf594f,c04d0000-0000-4000-a000-000000000005
6f8f63ea-0142-585a-a7fe-0f86dfcf594f,c04d0000-0000-4000-a000-00000000000e
6f8f63ea-0142-585a-a7fe-0f86dfcf594f,c04d0000-0000-4000-a000-00000000000f
38042d14-b41a-58d3-a5c3-ad7aec83e56d,c04d0000-0000-4000-a000-000000000002
38042d14-b41a-58d3-a5c3-ad7aec83e56d,c04d0000-0000-4000-a000-000000000004
38042d14-b41a-58d3-a5c3-ad7aec83e56d,c04d0000-0000-4000-a000-000000000005
f72245b9-387c-5cf6-bbe0-f1ac86a358c4,c04d0000-0000-4000-a000-000000000002
6133215b-a31d-562d-9316-35324f562d6c,c04d0000-0000-4000-a000-00000000000b
3d4b70a2-00a8-50b4-b5d1-809fc757b318,c04d0000-0000-4000-a000-000000000004
3d4b70a2-00a8-50b4-b5d1-809fc757b318,c04d0000-0000-4000-a000-000000000009
3d4b70a2-00a8-50b4-b5d1-809fc757b318,c04d0000-0000-4000-a000-00000000000a
3d4b70a2-00a8-50b4-b5d1-809fc757b318,c04d0000-0000-4000-a000-00000000000b
3d4b70a2-00a8-50b4-b5d1-809fc757b318,c04d0000-0000-4000-a000-00000000000f
bc11534a-39f1-5691-bb6b-3885b920c84b,c04d0000-0000-4000-a000-00000000000b
c87f1d42-e66b-50e8-9625-1741041c8a93,c04d0000-0000-4000-a000-000000000001
c87f1d42-e66b-50e8-9625-1741041c8a93,c04d0000-0000-4000-a000-000000000002
c87f1d42-e66b-50e8-9625-1741041c8a93,c04d0000-0000-4000-a000-000000000003
c87f1d42-e66b-50e8-9625-1741041c8a93,c04d0000-0000-4000-a000-000000000005
c87f1d42-e66b-50e8-9625-1741041c8a93,c04d0000-0000-4000-a000-00000000000e
c87f1d42-e66b-50e8-9625-1741041c8a93,c04d0000-0000-4000-a000-00000000000f
36997c98-bf66-58b2-9d69-422d70eff96b,c04d0000-0000-4000-a000-000000000004
36997c98-bf66-58b2-9d69-422d70eff96b,c04d0000-0000-4000-a000-000000000006
36997c98-bf66-58b2-9d69-422d70eff96b,c04d0000-0000-4000-a000-000000000009
36997c98-bf66-58b2-9d69-422d70eff96b,c04d0000-0000-4000-a000-00000000000a
36997c98-bf66-58b2-9d69-422d70eff96b,c04d0000-0000-4000-a000-00000000000b
36997c98-bf66-58b2-9d69-422d70eff96b,c04d0000-0000-4000-a000-00000000000c
36997c98-bf66-58b2-9d69-422d70eff96b,c04d0000-0000-4000-a000-00000000000d
36997c98-bf66-58b2-9d69-422d70eff96b,c04d0000-0000-4000-a000-00000000000f
b50869dc-e3a1-57fd-8419-cd10dd1b1885,c04d0000-0000-4000-a000-000000000002
b50869dc-e3a1-57fd-8419-cd10dd1b1885,c04d0000-0000-4000-a000-000000000004
b50869dc-e3a1-57fd-8419-cd10dd1b1885,c04d0000-0000-4000-a000-000000000005
b50869dc-e3a1-57fd-8419-cd10dd1b1885,c04d0000-0000-4000-a000-000000000009
b50869dc-e3a1-57fd-8419-cd10dd1b1885,c04d0000-0000-4000-a000-00000000000a
b50869dc-e3a1-57fd-8419-cd10dd1b1885,c04d0000-0000-4000-a000-00000000000b
cc618aa0-1ee7-5853-a26e-000fb122fda3,c04d0000-0000-4000-a000-000000000001
cc618aa0-1ee7-5853-a26e-000fb122fda3,c04d0000-0000-4000-a000-000000000002
cc618aa0-1ee7-5853-a26e-000fb122fda3,c04d0000-0000-4000-a000-000000000003
cc618aa0-1ee7-5853-a26e-000fb122fda3,c04d0000-0000-4000-a000-000000000005
ef11c0ec-388a-5fcb-8cb4-f3cff6d5dd10,c04d0000-0000-4000-a000-000000000001
ef11c0ec-388a-5fcb-8cb4-f3cff6d5dd10,c04d0000-0000-4000-a000-000000000002
ef11c0ec-388a-5fcb-8cb4-f3cff6d5dd10,c04d0000-0000-4000-a000-000000000003
ef11c0ec-388a-5fcb-8cb4-f3cff6d5dd10,c04d0000-0000-4000-a000-000000000005
209a0db5-c38a-556f-b56a-7f274bb42e4d,c04d0000-0000-4000-a000-000000000004
209a0db5-c38a-556f-b56a-7f274bb42e4d,c04d0000-0000-4000-a000-00000000000a
209a0db5-c38a-556f-b56a-7f274bb42e4d,c04d0000-0000-4000-a000-00000000000b
2a1ca355-abde-537a-af0c-c79e04265666,c04d0000-0000-4000-a000-000000000001
2a1ca355-abde-537a-af0c-c79e04265666,c04d0000-0000-4000-a000-000000000002
2a1ca355-abde-537a-af0c-c79e04265666,c04d0000-0000-4000-a000-000000000003
2a1ca355-abde-537a-af0c-c79e04265666,c04d0000-0000-4000-a000-000000000004
2a1ca355-abde-537a-af0c-c79e04265666,c04d0000-0000-4000-a000-000000000005
2a1ca355-abde-537a-af0c-c79e04265666,c04d0000-0000-4000-a000-00000000000c
6f9b0cfe-9018-5cb8-849f-e0e4ff493900,c04d0000-0000-4000-a000-000000000002
6f9b0cfe-9018-5cb8-849f-e0e4ff493900,c04d0000-0000-4000-a000-000000000004
6f9b0cfe-9018-5cb8-849f-e0e4ff493900,c04d0000-0000-4000-a000-00000000000b
2ec7306c-1c74-51a7-940b-8cc4da983b97,c04d0000-0000-4000-a000-000000000002
2ec7306c-1c74-51a7-940b-8cc4da983b97,c04d0000-0000-4000-a000-000000000004
2ec7306c-1c74-51a7-940b-8cc4da983b97,c04d0000-0000-4000-a000-000000000005
2ec7306c-1c74-51a7-940b-8cc4da983b97,c04d0000-0000-4000-a000-000000000006
2ec7306c-1c74-51a7-940b-8cc4da983b97,c04d0000-0000-4000-a000-000000000009
2ec7306c-1c74-51a7-940b-8cc4da983b97,c04d0000-0000-4000-a000-00000000000a
2ec7306c-1c74-51a7-940b-8cc4da983b97,c04d0000-0000-4000-a000-00000000000b
2ec7306c-1c74-51a7-940b-8cc4da983b97,c04d0000-0000-4000-a000-00000000000c
2ec7306c-1c74-51a7-940b-8cc4da983b97,c04d0000-0000-4000-a000-00000000000d
6a74b6e8-457f-5655-9c95-72d4822f7ee7,c04d0000-0000-4000-a000-000000000002
6a74b6e8-457f-5655-9c95-72d4822f7ee7,c04d0000-0000-4000-a000-000000000004
6a74b6e8-457f-5655-9c95-72d4822f7ee7,c04d0000-0000-4000-a000-00000000000b
a4d9c15d-4ab6-5721-ad72-c042f590e25e,c04d0000-0000-4000-a000-00000000000c
dc04d0e1-24ee-5712-b18c-b83dc8f5ad4a,c04d0000-0000-4000-a000-00000000000b
be5a1ceb-5d3f-5258-9e1b-073feb18b8be,c04d0000-0000-4000-a000-000000000004
