id,created_at,updated_at,version,feature_id,references_feature_id,references_spell_name,spell_level,references_action_name,count,optional,mode,choice_group,ordinal
5ff8df11-a90f-59b5-994d-ceaf06b0f52e,2026-09-08T00:00:00,2026-09-08T00:00:00,0,b7cb1ff1-37ab-5a09-b264-428927c8eab8,149a656d-9039-56cd-b4a6-4ed4d283fb3f,NULL,NULL,NULL,2,false,FIXED,NULL,0
59d836a1-c381-5e27-a75c-9260374302d1,2026-09-08T00:00:00,2026-09-08T00:00:00,0,b7cb1ff1-37ab-5a09-b264-428927c8eab8,8d69d00e-08f7-5ea8-8db1-8187c15c1dda,NULL,NULL,NULL,1,true,CHOICE,0,1
874224b5-4fa1-5b37-9ada-afcddcc27d04,2026-09-08T00:00:00,2026-09-08T00:00:00,0,b7cb1ff1-37ab-5a09-b264-428927c8eab8,de0f7a45-315d-5e44-a9ec-fc62ac90553a,NULL,NULL,NULL,1,true,CHOICE,0,2
22752302-9ee3-5917-928f-a19f569796b0,2026-09-08T00:00:00,2026-09-08T00:00:00,0,4cfa74e1-4297-5a1f-8a9f-a89e367ea2d6,149a656d-9039-56cd-b4a6-4ed4d283fb3f,NULL,NULL,NULL,1,false,FIXED,NULL,0
caf94aa2-4025-5a84-82e5-5bbbb2679724,2026-09-08T00:00:00,2026-09-08T00:00:00,0,983b70db-05c0-5da7-a000-97ded6e0a55c,8d69d00e-08f7-5ea8-8db1-8187c15c1dda,NULL,NULL,NULL,1,false,FIXED,NULL,0
b65ea4b9-747f-5d42-8cfa-0c9947844525,2026-09-08T00:00:00,2026-09-08T00:00:00,0,0bc07e50-b537-508f-ba96-c6eca0398d80,a6a672d6-327c-50ff-92c1-55c7472b5d42,NULL,NULL,NULL,2,false,FIXED,NULL,0
642c3a8e-6a5c-5b95-b965-c0c7ad9ad0cb,2026-09-08T00:00:00,2026-09-08T00:00:00,0,3210ba19-a339-5d41-97f5-637253fd5295,55762778-bd39-5354-bade-b0c607acea58,NULL,NULL,NULL,2,false,FIXED,NULL,0
1ba51510-21a8-5d00-9700-d1fd070daeb3,2026-09-08T00:00:00,2026-09-08T00:00:00,0,e2b758e4-57e4-5bcb-916b-fefaca597e62,1aea011b-d3eb-5ca6-a4dc-8f364758ec62,NULL,NULL,NULL,3,false,CHOICE,0,0
5d3ecc6c-cce0-5da7-b735-45a1728918e0,2026-09-08T00:00:00,2026-09-08T00:00:00,0,e2b758e4-57e4-5bcb-916b-fefaca597e62,28e29597-6a57-5041-9f61-c33f072364d1,NULL,NULL,NULL,3,false,CHOICE,0,1
bf1d5aac-6c3b-5b76-957b-1be171e0abe2,2026-09-08T00:00:00,2026-09-08T00:00:00,0,9e3f1e2f-75c8-5908-b09f-acdae5102254,NULL,NULL,NULL,Dash,1,false,CHOICE,0,0
