id,created_at,updated_at,version,feature_id,ordinal,step_trigger,target_filter,delivery,attack_kind,attack_bonus,attack_bonus_source,reach_feet,range_feet,range_long_feet,save_ability,save_dc,save_dc_source
338b0deb-8654-5fc8-a4ac-116b91c12168,2026-09-08T00:00:00,2026-09-08T00:00:00,0,71a63806-32f8-5039-be1f-87524329cf01,0,ALWAYS,NULL,AUTOMATIC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
630e68fa-9744-5319-bc09-58bf77373fed,2026-09-08T00:00:00,2026-09-08T00:00:00,0,e6d9d020-417f-5f14-87be-565a13d1d272,0,ALWAYS,NULL,AUTOMATIC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
91a57bbb-b416-50cb-a2f6-d28240d30722,2026-09-08T00:00:00,2026-09-08T00:00:00,0,75cc7af5-57f1-528c-8fc1-bf4d8054db8f,0,ALWAYS,NULL,AUTOMATIC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
bfeb7f7e-4b8f-5bd3-88e0-799d4b94c807,2026-09-08T00:00:00,2026-09-08T00:00:00,0,5030981c-3aff-57d5-a158-d54a88543122,0,ALWAYS,NULL,SAVING_THROW,NULL,NULL,NULL,NULL,NULL,NULL,CONSTITUTION,14,FIXED
c2b1c831-bbea-56bf-8332-ec01fa551002,2026-09-08T00:00:00,2026-09-08T00:00:00,0,ec61d485-de18-5459-9b42-a659a1b35b32,0,ALWAYS,NULL,AUTOMATIC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0d2294bd-ba95-5829-bacb-3044350355e9,2026-09-08T00:00:00,2026-09-08T00:00:00,0,b7cb1ff1-37ab-5a09-b264-428927c8eab8,0,ALWAYS,NULL,AUTOMATIC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5007e206-c6bc-5864-abd1-03e260a96579,2026-09-08T00:00:00,2026-09-08T00:00:00,0,149a656d-9039-56cd-b4a6-4ed4d283fb3f,0,ALWAYS,NULL,ATTACK_ROLL,MELEE,9,FIXED,15,NULL,NULL,NULL,NULL,NULL
50917df4-7fdf-5a95-b265-d6ff0247e090,2026-09-08T00:00:00,2026-09-08T00:00:00,0,8d69d00e-08f7-5ea8-8db1-8187c15c1dda,0,ALWAYS,NULL,SAVING_THROW,NULL,NULL,NULL,NULL,30,NULL,INTELLIGENCE,16,FIXED
8dcf031e-7c6d-53f0-a811-2d506a6eab3b,2026-09-08T00:00:00,2026-09-08T00:00:00,0,de0f7a45-315d-5e44-a9ec-fc62ac90553a,0,ALWAYS,NULL,SAVING_THROW,NULL,NULL,NULL,NULL,30,NULL,WISDOM,16,FIXED
bf806dbc-3ec1-53b6-8a37-cdbb15cf2ebc,2026-09-08T00:00:00,2026-09-08T00:00:00,0,4cfa74e1-4297-5a1f-8a9f-a89e367ea2d6,0,ALWAYS,NULL,AUTOMATIC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0e0ce378-74e3-5be4-a5f5-1b975a589225,2026-09-08T00:00:00,2026-09-08T00:00:00,0,983b70db-05c0-5da7-a000-97ded6e0a55c,0,ALWAYS,NULL,AUTOMATIC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
e64e68f3-d03b-56be-bec0-814cebbab344,2026-09-08T00:00:00,2026-09-08T00:00:00,0,1b2fbe6a-e74f-50e2-ac78-279e19904b81,0,ALWAYS,NULL,AUTOMATIC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
e903bee4-c5c4-5fc5-b1e2-384f028e40ef,2026-09-08T00:00:00,2026-09-08T00:00:00,0,0bc07e50-b537-508f-ba96-c6eca0398d80,0,ALWAYS,NULL,AUTOMATIC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0d1b6033-63a3-5005-80ef-664c4d19a4d1,2026-09-08T00:00:00,2026-09-08T00:00:00,0,a6a672d6-327c-50ff-92c1-55c7472b5d42,0,ALWAYS,NULL,ATTACK_ROLL,MELEE,8,FIXED,10,NULL,NULL,NULL,NULL,NULL
d99e8305-9875-58fb-9338-04ccedb6476d,2026-09-08T00:00:00,2026-09-08T00:00:00,0,51e7f06b-609f-592a-98db-7811f105275d,0,ALWAYS,NULL,SAVING_THROW,NULL,NULL,NULL,NULL,NULL,NULL,STRENGTH,13,FIXED
d0ff9b01-a18b-50b9-b8e4-2f336fc717c4,2026-09-08T00:00:00,2026-09-08T00:00:00,0,3210ba19-a339-5d41-97f5-637253fd5295,0,ALWAYS,NULL,AUTOMATIC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c52b03d5-b12b-508b-ae5e-5d209a1638fc,2026-09-08T00:00:00,2026-09-08T00:00:00,0,55762778-bd39-5354-bade-b0c607acea58,0,ALWAYS,NULL,ATTACK_ROLL,MELEE,4,FIXED,5,NULL,NULL,NULL,NULL,NULL
2f2fced6-dc91-5b20-8a8c-e426ad73f0c7,2026-09-08T00:00:00,2026-09-08T00:00:00,0,9cf83429-87e4-5931-a9b5-5bb378f4c20c,0,ALWAYS,NULL,ATTACK_ROLL,MELEE,4,FIXED,5,NULL,NULL,NULL,NULL,NULL
5a44b931-ba7c-517f-876e-60cc39a48ec3,2026-09-08T00:00:00,2026-09-08T00:00:00,0,1f99eea5-5d43-534d-98a2-f51c26794846,0,ALWAYS,NULL,ATTACK_ROLL,MELEE,5,FIXED,5,NULL,NULL,NULL,NULL,NULL
d5a5b8f2-5abb-5a75-bc89-174bdee4dbc2,2026-09-08T00:00:00,2026-09-08T00:00:00,0,ee90f4dd-8d23-5cde-88c5-a7977e97df49,0,ALWAYS,NULL,AUTOMATIC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
473fdbda-1b82-576b-a5eb-e813a8062986,2026-09-08T00:00:00,2026-09-08T00:00:00,0,8c3d4bb1-3a4e-518e-aa8f-f71214ae52ab,0,ALWAYS,NULL,ATTACK_ROLL,MELEE,5,FIXED,5,NULL,NULL,NULL,NULL,NULL
9e0987a3-9b71-5293-8312-93459b804903,2026-09-08T00:00:00,2026-09-08T00:00:00,0,dbc0395f-a001-56b7-9f42-e1d82e1b282b,0,ALWAYS,NULL,SAVING_THROW,NULL,NULL,NULL,NULL,NULL,NULL,DEXTERITY,12,FIXED
f8c7d457-778e-5da0-b447-07f2f92f17e8,2026-09-08T00:00:00,2026-09-08T00:00:00,0,accb39fe-c80c-55f9-bcf5-a661ed94bfea,0,ALWAYS,NULL,AUTOMATIC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
991906a3-4efb-5ea5-8ff5-08489d759324,2026-09-08T00:00:00,2026-09-08T00:00:00,0,e2b758e4-57e4-5bcb-916b-fefaca597e62,0,ALWAYS,NULL,AUTOMATIC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
