tool_item_id,crafted_item_id
819171b4-f624-51c0-8c53-5e0c38940a34,0d940984-2faa-585e-86b0-02f280ff786d
819171b4-f624-51c0-8c53-5e0c38940a34,d9111b84-a66d-51cb-a445-0bdbf3a5b6b6
819171b4-f624-51c0-8c53-5e0c38940a34,ed0dc3db-1190-514c-9d74-782cc91df583
819171b4-f624-51c0-8c53-5e0c38940a34,f846a6b7-2073-5b58-b291-b20233579dbf
819171b4-f624-51c0-8c53-5e0c38940a34,56da8ed5-4677-5aaf-bae2-b345c33060e4
819171b4-f624-51c0-8c53-5e0c38940a34,84d1f578-9a40-57d7-be05-a063c04137da
263aa011-c9f3-5265-8aaa-ec0101bdfbe5,e5d2939b-8a14-5761-b1a5-3ee0e56a8e73
74f98126-8f52-56c6-9c3e-9cffdbb98bad,93536ed6-2134-5a1e-877e-f6101c12e781
74f98126-8f52-56c6-9c3e-9cffdbb98bad,0c82c8ea-5c08-5839-a653-9b1c9be56349
bfb2c367-be27-5cb6-b8d3-1739dd856e0b,194a0906-3ac5-59cd-877b-5dd609840d8e
bfb2c367-be27-5cb6-b8d3-1739dd856e0b,e9c509af-c798-5af6-8a88-4f28e77de06f
bfb2c367-be27-5cb6-b8d3-1739dd856e0b,6b57b751-aa30-5683-acfd-99a14a8c3982
bfb2c367-be27-5cb6-b8d3-1739dd856e0b,d246a736-2b63-53ce-8d46-bd97cf27d948
bfb2c367-be27-5cb6-b8d3-1739dd856e0b,1d59a21e-f524-53ca-a0be-42244d67db5b
bfb2c367-be27-5cb6-b8d3-1739dd856e0b,505c0802-227b-5972-ab32-ac3abb5f6ec1
bfb2c367-be27-5cb6-b8d3-1739dd856e0b,1f7ba0dd-6d97-52e3-82a0-8ecf94c0785d
bfb2c367-be27-5cb6-b8d3-1739dd856e0b,556c7971-9ebe-5f70-bab4-8081f853b36d
bfb2c367-be27-5cb6-b8d3-1739dd856e0b,61cc1a7e-148f-5735-ba22-ec320924917f
0908be7f-2b52-56e8-b891-9190fa4b0cae,b0e94dd3-d30a-56cf-b998-f74c5fb7333a
93826d1d-1c87-5dc7-ae01-340514467662,f8709759-2cdc-5e2f-a0c2-9e9ed5b0507f
a22c6f24-a1a5-557c-8a6e-96576e05963c,9950ae51-3a2a-512e-a3be-0c1df2eb750d
c5359a1b-ddc9-5864-bab4-81e8542366e5,8cd42bb0-4314-56ca-be9c-4864125d5c47
c5359a1b-ddc9-5864-bab4-81e8542366e5,6de775a1-133b-5acb-8257-7171721c4206
c5359a1b-ddc9-5864-bab4-81e8542366e5,01a91fd6-3c50-5e0d-9aad-426cf328adb9
c5359a1b-ddc9-5864-bab4-81e8542366e5,d02d7440-8e91-5791-83a6-9423f78bbc62
2dc73820-8a5a-5764-b54f-1787dbc3a7cf,cf75eaa1-cbb7-5134-a476-bc9a84346449
