id,created_at,updated_at,version,srd_version,name,item_category,rarity_tier,rarity_note,applies_to,attunement,attunement_note,cost_gp,weight_lb,description,tool_ability,weapon_category,weapon_dice_count,weapon_dice_faces,weapon_dice_bonus,weapon_damage_type,versatile_dice_count,versatile_dice_faces,mastery_id,range_normal_feet,range_long_feet,weapon_reach_feet,ammunition_id,armor_category,base_armor_class,adds_dexterity,dexterity_cap,strength_requirement,stealth_disadvantage,armor_class_bonus
194a0906-3ac5-59cd-877b-5dd609840d8e,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Club,WEAPON,NULL,NULL,NULL,false,NULL,0.1,2,NULL,NULL,SIMPLE_MELEE,1,4,NULL,BLUDGEONING,NULL,NULL,a5700000-0000-4000-a000-000000000006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6cd93b4e-f374-5e18-9f9c-64214d1ab52a,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Dagger,WEAPON,NULL,NULL,NULL,false,NULL,2.0,1,NULL,NULL,SIMPLE_MELEE,1,4,NULL,PIERCING,NULL,NULL,a5700000-0000-4000-a000-000000000003,20,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
e9c509af-c798-5af6-8a88-4f28e77de06f,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Greatclub,WEAPON,NULL,NULL,NULL,false,NULL,0.2,10,NULL,NULL,SIMPLE_MELEE,1,8,NULL,BLUDGEONING,NULL,NULL,a5700000-0000-4000-a000-000000000004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8e99f5d3-6a8c-5ad0-90e2-02f226700b55,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Handaxe,WEAPON,NULL,NULL,NULL,false,NULL,5.0,2,NULL,NULL,SIMPLE_MELEE,1,6,NULL,SLASHING,NULL,NULL,a5700000-0000-4000-a000-000000000008,20,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ecdbadc2-fdab-5f94-8b87-6af5f9bb6683,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Javelin,WEAPON,NULL,NULL,NULL,false,NULL,0.5,2,NULL,NULL,SIMPLE_MELEE,1,6,NULL,PIERCING,NULL,NULL,a5700000-0000-4000-a000-000000000006,30,120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c5f0d130-dac1-5b69-8121-5aeea592fdbf,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Light Hammer,WEAPON,NULL,NULL,NULL,false,NULL,2.0,2,NULL,NULL,SIMPLE_MELEE,1,4,NULL,BLUDGEONING,NULL,NULL,a5700000-0000-4000-a000-000000000003,20,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
644f69b6-2f91-58dc-b51b-7cee3eb08ce9,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Mace,WEAPON,NULL,NULL,NULL,false,NULL,5.0,4,NULL,NULL,SIMPLE_MELEE,1,6,NULL,BLUDGEONING,NULL,NULL,a5700000-0000-4000-a000-000000000005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6b57b751-aa30-5683-acfd-99a14a8c3982,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Quarterstaff,WEAPON,NULL,NULL,NULL,false,NULL,0.2,4,NULL,NULL,SIMPLE_MELEE,1,6,NULL,BLUDGEONING,1,8,a5700000-0000-4000-a000-000000000007,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
41a8ff95-1707-56ef-b60c-136353fb09e6,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Sickle,WEAPON,NULL,NULL,NULL,false,NULL,1.0,2,NULL,NULL,SIMPLE_MELEE,1,4,NULL,SLASHING,NULL,NULL,a5700000-0000-4000-a000-000000000003,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
e5dc7685-1101-5f7d-93ec-fe54305bbf27,2026-09-08T00:00:00,2026-09-08T00:00:00,0,SRD_5_2,Spear,WEAPON,NULL,NULL,NULL,false,NULL,1.0,3,NULL,NULL,SIMPLE_MELEE,1,6,NULL,PIERCING,1,8,a5700000-0000-4000-a000-000000000005,20,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
