item_id,base_item_id
77cc2d50-52dc-5021-9ca5-7c05ffad10c4,64280b79-420c-5c3b-91be-b299013be532
ec1a3af5-5bc9-5161-a6d0-a9536c5fe205,373b2869-467b-5cbc-a332-a9ab780f1fd6
f97b7119-9aa0-5ac4-b0f1-fc6726dd359c,64280b79-420c-5c3b-91be-b299013be532
f48a14c0-110b-579f-9fee-b44162864450,207463e9-c9a9-53ef-9319-949b46a0dc4b
f48a14c0-110b-579f-9fee-b44162864450,b6810b43-2ed6-521d-a2ad-5a9c33684fc2
f48a14c0-110b-579f-9fee-b44162864450,9f68602e-a9a6-5612-a85c-3bf6d2a65c62
65047c63-1a75-5a2e-b588-19779d8cd269,6cd93b4e-f374-5e18-9f9c-64214d1ab52a
c3659688-d35c-5a36-92e3-927a709526d8,b5c05f13-24d2-54a5-af83-8aca0f8a6c06
c3659688-d35c-5a36-92e3-927a709526d8,a0f59cfe-f110-5e2a-a029-416d89e13544
c3659688-d35c-5a36-92e3-927a709526d8,92ef8e60-7c43-5048-b972-aefbe8108359
c3659688-d35c-5a36-92e3-927a709526d8,d8f3c826-aa8a-5ee2-bff5-f3451582c3ea
c3659688-d35c-5a36-92e3-927a709526d8,1f2b5e74-a5ab-5ba0-8832-862e01e69fee
b5ec2c5c-f2ae-5ae0-a5f1-3d436965911b,637cbabc-d916-59d2-b074-6052f36269d0
7a42b515-7b90-516e-95f4-b8bcc4f8dac7,7a6794d9-0c44-579b-8574-812f02dd07bc
7a42b515-7b90-516e-95f4-b8bcc4f8dac7,373b2869-467b-5cbc-a332-a9ab780f1fd6
87754bd4-506d-5a16-9b7f-690a6bd1b33a,9df9d0a4-422d-585a-9e7c-6d2adfcc2e2e
bd72737a-75fd-5066-bef3-05fbf953c313,ab11c16e-31e7-5d50-98ff-c0e8d90ebd2c
bd72737a-75fd-5066-bef3-05fbf953c313,a74ad564-7aa5-53a9-a7d3-4ace8c187308
91268cb6-84bf-52fa-a0c3-78d8f3dd152b,12528311-107f-58bf-b8d1-8055dfa9c034
91268cb6-84bf-52fa-a0c3-78d8f3dd152b,4dd506f2-3279-547d-ac5f-a6e959049f41
df0bb351-a369-5f19-9924-014fa6bc99c5,be8123f0-e90e-50a2-ac6b-8921e66fac5c
df0bb351-a369-5f19-9924-014fa6bc99c5,b5c05f13-24d2-54a5-af83-8aca0f8a6c06
df0bb351-a369-5f19-9924-014fa6bc99c5,a0f59cfe-f110-5e2a-a029-416d89e13544
df0bb351-a369-5f19-9924-014fa6bc99c5,92ef8e60-7c43-5048-b972-aefbe8108359
df0bb351-a369-5f19-9924-014fa6bc99c5,d8f3c826-aa8a-5ee2-bff5-f3451582c3ea
df0bb351-a369-5f19-9924-014fa6bc99c5,1f2b5e74-a5ab-5ba0-8832-862e01e69fee
d6866202-f32f-589a-b406-4645b39d6a62,69221ae9-4c04-579e-8ff6-b94068dcfff3
1da390dd-8e29-5135-91d7-a832ed1bd6ba,100e2646-cba2-5c4e-b32f-bdda2d76e216
1da390dd-8e29-5135-91d7-a832ed1bd6ba,9df9d0a4-422d-585a-9e7c-6d2adfcc2e2e
47353f6b-fb49-5452-b91f-38ac48a1c1ef,ecdbadc2-fdab-5f94-8b87-6af5f9bb6683
